datetime,Temp,Supply_MW,Humidity,wind_speed
2017-01-09 9:00,264.37,12,62,7
2017-01-09 10:00,265.14,12,61,4
2017-01-09 11:00,265.1,12,67,9
2017-01-09 12:00,265.86,12,67,2
2017-01-09 13:00,266.11,11,67,12
2017-01-09 14:00,266.68,12,67,9
2017-01-09 15:00,266.72,12,79,11
2017-01-09 16:00,267.12,12,79,12
2017-01-09 17:00,268.09,12,68,11
2017-01-09 18:00,268.91,11,68,11
2017-01-09 19:00,269.56,12,68,7
2017-01-09 20:00,269.98,12,62,4
2017-01-09 21:00,270.15,12,53,5
2017-01-09 22:00,269.76,12,58,6
2017-01-09 23:00,269.54,12,68,7
2017-01-10 0:00,269.55,11,68,7
2017-01-10 1:00,269.55,12,68,7
2017-01-10 2:00,269.77,12,68,1
2017-01-10 3:00,269.75,12,68,10
2017-01-10 4:00,270.12,12,68,7
2017-01-10 5:00,269.88,12,58,7
2017-01-10 6:00,270.39,12,58,9
2017-01-10 7:00,270.9,11,58,9
2017-01-10 8:00,271.16,11,63,7
2017-01-10 9:00,271.13,11,74,5
2017-01-10 10:00,271.34,12,84,5
2017-01-10 11:00,270.89,11,92,3
2017-01-10 12:00,270.85,12,86,7
2017-01-10 13:00,271.34,11,92,6
2017-01-10 14:00,271.56,12,92,6
2017-01-10 15:00,271.93,11,86,6
2017-01-10 16:00,272.31,12,69,6
2017-01-10 17:00,272.98,11,80,5
2017-01-10 18:00,273.39,12,80,5
2017-01-10 19:00,273.35,12,87,4
2017-01-10 20:00,273.35,12,100,5
2017-01-10 21:00,273.98,12,92,6
2017-01-10 22:00,274.76,12,92,5
2017-01-10 23:00,275.19,12,100,5
2017-01-11 0:00,276.16,11,100,5
2017-01-11 1:00,276.56,12,93,4
2017-01-11 2:00,277.79,12,93,7
2017-01-11 3:00,278.19,12,93,6
2017-01-11 4:00,278.62,12,93,10
2017-01-11 5:00,279.38,12,87,14
2017-01-11 6:00,280.15,12,87,17
2017-01-11 7:00,277.91,12,80,14
2017-01-11 8:00,277.64,12,75,18
2017-01-11 9:00,277.14,12,76,13
2017-01-11 10:00,276.44,11,69,7
2017-01-11 11:00,276.41,12,64,11
2017-01-11 12:00,275.66,12,69,10
2017-01-11 13:00,274.55,12,74,8
2017-01-11 14:00,274.55,11,69,7
2017-01-11 15:00,274.76,11,74,7
2017-01-11 16:00,275.76,11,69,8
2017-01-11 17:00,276.57,11,74,6
2017-01-11 18:00,276.37,13,74,7
2017-01-11 19:00,276.99,11,77,7
2017-01-11 20:00,277.58,11,71,4
2017-01-11 21:00,278.17,11,75,2
2017-01-11 22:00,277.98,11,69,1
2017-01-11 23:00,277.78,11,71,3
2017-01-12 0:00,277.59,12,71,4
2017-01-12 1:00,277.78,11,71,4
2017-01-12 2:00,277.99,12,80,4
2017-01-12 3:00,278.61,12,86,2
2017-01-12 4:00,277.66,11,80,2
2017-01-12 5:00,278.22,12,93,1
2017-01-12 6:00,278.88,12,93,2
2017-01-12 7:00,279.86,11,93,1
2017-01-12 8:00,279.88,11,100,1
2017-01-12 9:00,280.39,12,100,2
2017-01-12 10:00,279.12,11,93,3
2017-01-12 11:00,278.37,11,93,5
2017-01-12 12:00,277.91,11,100,6
2017-01-12 13:00,278.47,11,86,7
2017-01-12 14:00,277.22,11,97,6
2017-01-12 15:00,276.18,11,86,4
2017-01-12 16:00,276.13,12,80,3
2017-01-12 17:00,276.18,11,93,5
2017-01-12 18:00,275.57,11,86,3
2017-01-12 19:00,275.53,11,86,3
2017-01-12 20:00,275.98,11,93,4
2017-01-12 21:00,275.99,12,86,6
2017-01-12 22:00,275.35,12,96,4
2017-01-12 23:00,274.79,12,86,3
2017-01-13 0:00,274.55,11,80,3
2017-01-13 1:00,274.4,11,88,3
2017-01-13 2:00,273.57,12,80,3
2017-01-13 3:00,273.56,12,74,5
2017-01-13 4:00,273.15,12,87,4
2017-01-13 5:00,272.71,12,63,7
2017-01-13 6:00,271.9,11,87,10
2017-01-13 7:00,271.39,11,68,7
2017-01-13 8:00,271.39,11,63,9
2017-01-13 9:00,271.14,11,63,8
2017-01-13 10:00,270.14,11,54,8
2017-01-13 11:00,269.66,11,58,7
2017-01-13 12:00,269.66,11,58,5
2017-01-13 13:00,269.16,11,53,6
2017-01-13 14:00,268.76,12,58,5
2017-01-13 15:00,268.97,11,58,5
2017-01-13 16:00,269.57,11,49,6
2017-01-13 17:00,270.36,11,68,7
2017-01-13 18:00,270.18,11,53,6
2017-01-13 19:00,270.35,11,49,5
2017-01-13 20:00,269.56,11,58,4
2017-01-13 21:00,269.18,12,53,6
2017-01-13 22:00,269.04,11,73,3
2017-01-13 23:00,268.16,11,62,4
2017-01-14 0:00,267.57,12,62,4
2017-01-14 1:00,267.33,12,62,4
2017-01-14 2:00,266.96,12,62,4
2017-01-14 3:00,266.36,12,67,4
2017-01-14 4:00,265.62,13,62,4
2017-01-14 5:00,265.12,12,62,4
2017-01-14 6:00,264.11,12,62,3
2017-01-14 7:00,263.84,12,62,1
2017-01-14 8:00,263.35,12,62,3
2017-01-14 9:00,263.11,12,61,3
2017-01-14 10:00,263.11,12,61,4
2017-01-14 11:00,263.1,12,67,4
2017-01-14 12:00,263.24,12,73,4
2017-01-14 13:00,264.36,12,66,3
2017-01-14 14:00,264.98,12,73,4
2017-01-14 15:00,265.37,11,72,2
2017-01-14 16:00,266.57,11,73,4
2017-01-14 17:00,267.36,12,79,4
2017-01-14 18:00,267.76,12,85,4
2017-01-14 19:00,268.36,12,85,2
2017-01-14 20:00,269.15,12,79,3
2017-01-14 21:00,269.55,12,86,1
2017-01-14 22:00,269.75,12,79,1
2017-01-14 23:00,269.55,12,73,2
2017-01-15 0:00,269.14,12,79,2
2017-01-15 1:00,268.53,12,73,4
2017-01-15 2:00,267.92,12,73,5
2017-01-15 3:00,267.3,12,73,3
2017-01-15 4:00,267.08,12,73,3
2017-01-15 5:00,266.84,12,79,3
2017-01-15 6:00,266.33,12,79,3
2017-01-15 7:00,267.37,12,73,3
2017-01-15 8:00,267.11,12,79,2
2017-01-15 9:00,267.36,12,73,5
2017-01-15 10:00,267.88,12,79,5
2017-01-15 11:00,268.64,10,79,2
2017-01-15 12:00,268.12,10,79,3
2017-01-15 13:00,268.73,11,79,4
2017-01-15 14:00,269.15,12,79,1
2017-01-15 15:00,269.93,12,74,2
2017-01-15 16:00,271.15,12,74,2
2017-01-15 17:00,271.96,12,74,3
2017-01-15 18:00,272.15,12,94,3
2017-01-15 19:00,272.55,11,94,1
2017-01-15 20:00,272.55,10,84,3
2017-01-15 21:00,272.75,11,84,2
2017-01-15 22:00,272.75,12,84,2
2017-01-15 23:00,272.34,12,82,3
2017-01-16 0:00,272.34,12,82,3
2017-01-16 1:00,271.74,12,63,4
2017-01-16 2:00,271.07,12,81,4
2017-01-16 3:00,270.26,12,81,5
2017-01-16 4:00,269.82,12,81,5
2017-01-16 5:00,269.2,12,92,3
2017-01-16 6:00,268.35,12,79,2
